Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
50	31	0	0.538939427	-0.0440369811	-0.0678627829	-0.150554941	-0.0440369811	0.0516825593	0	0	0	0	0	0	3
51	32	0	0.549718216	-0.0441720393	-0.0661295899	-0.150554941	-0.0440369811	0.0534157522	0	0	0	0	0	0	3
52	32	0	0.560497004	-0.0441092272	-0.0640975877	-0.150554941	-0.0440369811	0.0554477544	0	0	0	0	0	0	3
53	33	0	0.571275793	-0.0440664245	-0.0618628653	-0.150554941	-0.0440369811	0.0576824769	0	0	0	0	0	0	3
54	33	0	0.582054581	-0.0440539399	-0.0595968865	-0.141744424	-0.0440369811	0.0599484556	0	0	0	0	0	0	3
55	34	0	0.59283337	-0.0440582601	-0.0575184575	-0.129106328	-0.0440369811	0.0620268846	0	0	0	0	0	0	3
56	34	0	0.603612158	-0.0442099513	-0.0557121516	-0.117739315	-0.0440369811	0.0636525878	0	0	0	0	0	0	3
57	35	0	0.614390947	-0.0442379918	-0.0541482937	-0.104544937	-0.0440369811	0.0605079555	0	0	0	0	0	0	3
58	35	0	0.625169735	-0.0442851716	-0.052866171	-0.0935937218	-0.0440369811	0.0495567406	0	0	0	0	0	0	3
59	36	0	0.635948524	-0.0443305293	-0.051818018	-0.0894066286	-0.0440369811	0.0453696475	0	0	0	0	0	0	3
60	36	0	0.646727312	-0.0443795304	-0.0508599946	-0.0851698282	-0.0440369811	0.041132847	0	0	0	0	0	0	3
61	37	0	0.657506101	-0.0444920582	-0.0499945102	-0.081626798	-0.0440369811	0.0375898169	0	0	0	0	0	0	3
62	37	0	0.66828489	-0.0445194933	-0.0492049931	-0.0784499974	-0.0440369811	0.0344130163	0	0	0	0	0	0	3
63	38	0	0.679063678	-0.0445205681	-0.0484830903	-0.07469369	-0.0440369811	0.0306567089	0	0	0	0	0	0	3
64	38	0	0.689842467	-0.0445179251	-0.0478410528	-0.0710225481	-0.0440369811	0.0269855669	0	0	0	0	0	0	3
65	39	0	0.700621255	-0.0444960755	-0.0472766597	-0.0677442639	-0.0440369811	0.0237072828	0	0	0	0	0	0	3
66	39	0	0.711400044	-0.0445327836	-0.0467827984	-0.0648983814	-0.0440369811	0.0208614002	0	0	0	0	0	0	3
67	40	0	0.722178832	-0.0445003627	-0.046348798	-0.0624481192	-0.0440369811	0.0184111381	0	0	0	0	0	0	3
68	40	0	0.732957621	-0.0444723867	-0.0459663356	-0.0599506239	-0.0440369811	0.0159136428	0	0	0	0	0	0	3
69	41	0	0.743736409	-0.0444341507	-0.0456361979	-0.0577124489	-0.0440369811	0.0136754678	0	0	0	0	0	0	3
70	41	0	0.754515198	-0.0444028882	-0.0453530158	-0.055879443	-0.0440369811	0.0118424618	0	0	0	0	0	0	3
71	42	0	0.765293986	-0.0444215668	-0.0451092312	-0.0542734991	-0.0440369811	0.010236518	0	0	0	0	0	0	3
72	43	0	0.776072775	-0.0443974023	-0.0448991015	-0.0528214726	-0.0440369811	0.00878449152	0	0	0	0	0	0	3
73	43	0	0.786851563	-0.044373276	-0.0447193526	-0.0509098225	-0.0440369811	0.00687284134	0	0	0	0	0	0	3
74	44	0	0.797630352	-0.04435792	-0.0445799504	-0.0490535653	-0.0440369811	0.00501658421	0	0	0	0	0	0	3
75	44	0	0.808409141	-0.0443335754	-0.0444795251	-0.0473195769	-0.0440369811	0.00328259579	0	0	0	0	0	0	3
76	45	0	0.819187929	-0.0443581165	-0.0444165153	-0.0459297293	-0.0440369811	0.00189274814	0	0	0	0	0	0	3
77	45	0	0.829966718	-0.0443520167	-0.0443829469	-0.0451449572	-0.0440369811	0.0011079761	0	0	0	0	0	0	3
78	46	0	0.840745506	-0.0443594493	-0.044366234	-0.0448858961	-0.0440369811	0.000848914952	0	0	0	0	0	0	3
79	46	0	0.851524295	-0.0443688454	-0.0443615461	-0.0448858961	-0.0440369811	0.000848914952	0	0	0	0	0	0	3
80	47	0	0.862303083	-0.0443917515	-0.0443611672	-0.0448858961	-0.0440369811	0.000848914952	0	0	0	0	0	0	3
81	47	0	0.873081872	-0.0444342768	-0.0443613253	-0.0448858961	-0.0440369811	0.000848914952	0	0	0	0	0	0	3
82	48	0	0.88386066	-0.0444576288	-0.044360657	-0.0448858961	-0.0440369811	0.000848914952	0	0	0	0	0	0	3
83	48	0	0.894639449	-0.0444639011	-0.0443516784	-0.0446985882	-0.0440369811	0.000661607081	0	0	0	0	0	0	3
84	49	0	0.905418237	-0.0444822671	-0.0443470759	-0.0445327836	-0.0440369811	0.000495802478	0	0	0	0	0	0	3
85	49	0	0.916197026	-0.0444996328	-0.0443475862	-0.0445327836	-0.0440369811	0.000495802478	0	0	0	0	0	0	3
86	49	0	0.926975814	-0.044531893	-0.0443527889	-0.0445327836	-0.0440369811	0.000495802478	0	0	0	0	0	0	3
87	50	0	0.937754603	-0.0445471727	-0.0443612229	-0.0445471727	-0.0440369811	0.000510191579	0	0	0	0	0	0	3
88	50	0	0.948533392	-0.0445512639	-0.0443620746	-0.0445512639	-0.0440369811	0.000514282727	0	0	0	0	0	0	3
89	51	0	0.95931218	-0.0445473433	-0.0443646357	-0.0445512639	-0.0440369811	0.000514282727	0	0	0	0	0	0	3
90	51	0	0.970090969	-0.0445511159	-0.0443687964	-0.0445512639	-0.0440369811	0.000514282727	0	0	0	0	0	0	3
91	52	0	0.980869757	-0.0445599536	-0.0443747091	-0.0445599536	-0.0440369811	0.000522972507	0	0	0	0	0	0	3
92	52	0	0.991648546	-0.044573226	-0.0443829563	-0.044573226	-0.0440369811	0.000536244907	0	0	0	0	0	0	3
93	53	0	1.00242733	-0.0445767498	-0.0443845383	-0.0445767498	-0.0440369811	0.000539768646	0.00319553881	0	100	0	0	0	3
