Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
55	34	0	0.59283337	-500.681373	-653.644065	-1467.17399	-500.439556	704.878169	0	0	0	0	0	0	3
56	34	0	0.603612158	-502.405202	-633.11707	-1337.99841	-500.439556	723.352782	0	0	0	0	0	0	3
57	35	0	0.614390947	-502.723856	-615.345271	-1188.0565	-500.439556	687.616944	0	0	0	0	0	0	3
58	35	0	0.625169735	-503.260011	-600.775133	-1063.60607	-500.439556	563.166517	0	0	0	0	0	0	3
59	36	0	0.635948524	-503.77546	-588.863843	-1016.02363	-500.439556	515.584077	0	0	0	0	0	0	3
60	36	0	0.646727312	-504.332312	-577.976794	-967.876315	-500.439556	467.436759	0	0	0	0	0	0	3
61	37	0	0.657506101	-505.611086	-568.141363	-927.613055	-500.439556	427.173498	0	0	0	0	0	0	3
62	37	0	0.66828489	-505.922861	-559.169231	-891.511655	-500.439556	391.072098	0	0	0	0	0	0	3
63	38	0	0.679063678	-505.935075	-550.965474	-848.824695	-500.439556	348.385139	0	0	0	0	0	0	3
64	38	0	0.689842467	-505.90504	-543.669312	-807.105563	-500.439556	306.666007	0	0	0	0	0	0	3
65	39	0	0.700621255	-505.65674	-537.255507	-769.850896	-500.439556	269.41134	0	0	0	0	0	0	3
66	39	0	0.711400044	-506.073893	-531.64323	-737.510073	-500.439556	237.070517	0	0	0	0	0	0	3
67	40	0	0.722178832	-505.705459	-526.711217	-709.66511	-500.439556	209.225554	0	0	0	0	0	0	3
68	40	0	0.732957621	-505.387538	-522.364886	-681.283387	-500.439556	180.843831	0	0	0	0	0	0	3
69	41	0	0.743736409	-504.953022	-518.613176	-655.848598	-500.439556	155.409041	0	0	0	0	0	0	3
70	41	0	0.754515198	-504.597751	-515.395073	-635.018181	-500.439556	134.578625	0	0	0	0	0	0	3
71	42	0	0.765293986	-504.810017	-512.624686	-616.768114	-500.439556	116.328558	0	0	0	0	0	0	3
72	43	0	0.776072775	-504.535409	-510.236756	-600.267177	-500.439556	99.8276205	0	0	0	0	0	0	3
73	43	0	0.786851563	-504.261237	-508.194077	-578.543041	-500.439556	78.1034844	0	0	0	0	0	0	3
74	44	0	0.797630352	-504.08673	-506.6099	-557.448395	-500.439556	57.0088392	0	0	0	0	0	0	3
75	44	0	0.808409141	-503.810076	-505.468659	-537.743221	-500.439556	37.3036648	0	0	0	0	0	0	3
76	45	0	0.819187929	-504.088963	-504.752611	-521.948888	-500.439556	21.5093318	0	0	0	0	0	0	3
77	45	0	0.829966718	-504.019645	-504.371138	-513.03068	-500.439556	12.5911234	0	0	0	0	0	0	3
78	46	0	0.840745506	-504.104109	-504.181211	-510.086689	-500.439556	9.64713319	0	0	0	0	0	0	3
79	46	0	0.851524295	-504.210887	-504.127937	-510.086689	-500.439556	9.64713319	0	0	0	0	0	0	3
80	47	0	0.862303083	-504.471193	-504.123631	-510.086689	-500.439556	9.64713319	0	0	0	0	0	0	3
81	47	0	0.873081872	-504.954455	-504.125428	-510.086689	-500.439556	9.64713319	0	0	0	0	0	0	3
82	48	0	0.88386066	-505.219828	-504.117834	-510.086689	-500.439556	9.64713319	0	0	0	0	0	0	3
83	48	0	0.894639449	-505.291107	-504.0158	-507.958109	-500.439556	7.51855249	0	0	0	0	0	0	3
84	49	0	0.905418237	-505.49982	-503.963496	-506.073893	-500.439556	5.63433654	0	0	0	0	0	0	3
85	49	0	0.916197026	-505.697165	-503.969296	-506.073893	-500.439556	5.63433654	0	0	0	0	0	0	3
86	49	0	0.926975814	-506.063772	-504.028419	-506.073893	-500.439556	5.63433654	0	0	0	0	0	0	3
87	50	0	0.937754603	-506.237412	-504.124264	-506.237412	-500.439556	5.79785537	0	0	0	0	0	0	3
88	50	0	0.948533392	-506.283904	-504.133943	-506.283904	-500.439556	5.84434748	0	0	0	0	0	0	3
89	51	0	0.95931218	-506.23935	-504.163048	-506.283904	-500.439556	5.84434748	0	0	0	0	0	0	3
90	51	0	0.970090969	-506.282222	-504.21033	-506.283904	-500.439556	5.84434748	0	0	0	0	0	0	3
91	52	0	0.980869757	-506.382655	-504.277523	-506.382655	-500.439556	5.94309879	0	0	0	0	0	0	3
92	52	0	0.991648546	-506.533484	-504.371244	-506.533484	-500.439556	6.09392734	0	0	0	0	0	0	3
93	53	0	1.00242733	-506.573528	-504.389222	-506.573528	-500.439556	6.13397137	36.3143427	0	100	0	0	0	3
